signal_number,signal_timestamp,entry_timestamp,exit_timestamp,upside_probability,forecast_return,position,exit_reason,exit_price,underlying_return,net_return,equity
723,2025-01-06 23:00:00,2025-01-07,2025-01-07 23:00:00,0.2,-0.0100514781944482,0,flat,,0.0,0.0,0.04161206131802633
724,2025-01-07 23:00:00,2025-01-08,2025-01-08 23:00:00,0.4,-0.0007894534220385,0,flat,,0.0,0.0,0.04161206131802633
725,2025-01-08 23:00:00,2025-01-09,2025-01-09 23:00:00,0.2,-0.0068549694203282,0,flat,,0.0,0.0,0.04161206131802633
726,2025-01-09 23:00:00,2025-01-10,2025-01-10 23:00:00,0.6,0.0039404243405015,0,flat,,0.0,0.0,0.04161206131802633
727,2025-01-10 23:00:00,2025-01-11,2025-01-11 23:00:00,0.8,0.0029707230223236,0,flat,,0.0,0.0,0.04161206131802633
728,2025-01-11 23:00:00,2025-01-12,2025-01-12 23:00:00,0.0,-0.0050809319233311,0,flat,,0.0,0.0,0.04161206131802633
729,2025-01-12 23:00:00,2025-01-13,2025-01-13 23:00:00,0.2,-0.0050365298005605,0,flat,,0.0,0.0,0.04161206131802633
730,2025-01-13 23:00:00,2025-01-14,2025-01-14 23:00:00,0.4,-0.0023481165853312,0,flat,,0.0,0.0,0.04161206131802633
731,2025-01-14 23:00:00,2025-01-15,2025-01-15 23:00:00,0.6,0.0031282248906646,0,flat,,0.0,0.0,0.04161206131802633
732,2025-01-15 23:00:00,2025-01-16,2025-01-16 23:00:00,0.0,-0.0111070326498108,0,flat,,0.0,0.0,0.04161206131802633
733,2025-01-16 23:00:00,2025-01-17,2025-01-17 23:00:00,0.2,-0.0043742226383715,0,flat,,0.0,0.0,0.04161206131802633
734,2025-01-17 23:00:00,2025-01-18,2025-01-18 23:00:00,0.2,-0.0109350896268352,0,flat,,0.0,0.0,0.04161206131802633
735,2025-01-18 23:00:00,2025-01-19,2025-01-19 23:00:00,0.2,-0.0102933301155808,0,flat,,0.0,0.0,0.04161206131802633
736,2025-01-19 23:00:00,2025-01-20,2025-01-20 23:00:00,0.6,0.0058645705324666,0,flat,,0.0,0.0,0.04161206131802633
737,2025-01-20 23:00:00,2025-01-21,2025-01-21 23:00:00,0.8,0.0159795621119712,0,flat,,0.0,0.0,0.04161206131802633
738,2025-01-21 23:00:00,2025-01-22,2025-01-22 23:00:00,0.0,-0.0191620990769404,0,flat,,0.0,0.0,0.04161206131802633
739,2025-01-22 23:00:00,2025-01-23,2025-01-23 23:00:00,0.2,-0.0087589314223039,0,flat,,0.0,0.0,0.04161206131802633
740,2025-01-23 23:00:00,2025-01-24,2025-01-24 23:00:00,0.8,0.0054692712640844,0,flat,,0.0,0.0,0.04161206131802633
741,2025-01-24 23:00:00,2025-01-25,2025-01-25 23:00:00,0.4,-0.005582762687235,0,flat,,0.0,0.0,0.04161206131802633
742,2025-01-25 23:00:00,2025-01-26,2025-01-26 23:00:00,0.6,0.0041939414958644,0,flat,,0.0,0.0,0.04161206131802633
743,2025-01-26 23:00:00,2025-01-27,2025-01-27 23:00:00,0.8,0.0119474459365775,0,flat,,0.0,0.0,0.04161206131802633
744,2025-01-27 23:00:00,2025-01-28,2025-01-28 23:00:00,0.4,0.0019339711413204,0,flat,,0.0,0.0,0.04161206131802633
745,2025-01-28 23:00:00,2025-01-29,2025-01-29 23:00:00,0.2,-0.0121053345145518,0,flat,,0.0,0.0,0.04161206131802633
746,2025-01-29 23:00:00,2025-01-30,2025-01-30 23:00:00,0.4,0.0004859504552634,0,flat,,0.0,0.0,0.04161206131802633
747,2025-01-30 23:00:00,2025-01-31,2025-01-31 23:00:00,0.6,-2.1539494386968448e-05,0,flat,,0.0,0.0,0.04161206131802633
748,2025-01-31 23:00:00,2025-02-01,2025-02-01 23:00:00,0.6,0.0045320111066939,0,flat,,0.0,0.0,0.04161206131802633
749,2025-02-01 23:00:00,2025-02-02,2025-02-02 23:00:00,0.8,0.0112219207364347,0,flat,,0.0,0.0,0.04161206131802633
750,2025-02-02 23:00:00,2025-02-03,2025-02-03 23:00:00,1.0,0.0363639359746888,1,stop,91941.3603,-0.058599999999999985,-0.5999999999999999,0.016644824527210538
751,2025-02-03 23:00:00,2025-02-04,2025-02-04 23:00:00,0.6,0.0013408873157956,0,flat,,0.0,0.0,0.016644824527210538
752,2025-02-04 23:00:00,2025-02-05,2025-02-05 23:00:00,1.0,0.0249563056046521,1,time,96553.2,-0.011839115750690854,-0.13239115750690855,0.014441196941553753
753,2025-02-05 23:00:00,2025-02-06,2025-02-06 23:00:00,1.0,0.0084190956384667,1,time,96515.1,-0.00039460111109723695,-0.017946011110972368,0.014182035060784888
754,2025-02-06 23:00:00,2025-02-07,2025-02-07 23:00:00,0.8,0.0150272794101647,0,flat,,0.0,0.0,0.014182035060784888
755,2025-02-07 23:00:00,2025-02-08,2025-02-08 23:00:00,0.8,0.0098958090343115,0,flat,,0.0,0.0,0.014182035060784888
756,2025-02-08 23:00:00,2025-02-09,2025-02-09 23:00:00,1.0,0.0054086619494067,1,time,96423.6,0.00012031697299086375,-0.012796830270091363,0.01400054996522754
757,2025-02-09 23:00:00,2025-02-10,2025-02-10 23:00:00,0.8,0.0137269299217203,0,flat,,0.0,0.0,0.01400054996522754
758,2025-02-10 23:00:00,2025-02-11,2025-02-11 23:00:00,0.8,0.0100952802292481,0,flat,,0.0,0.0,0.01400054996522754
